activity_id,location_id,activity_name,must_see_place,typical_duration_mins,estimated_cost_inr
1,1,Heritage walk,Delhi Market,90,389
2,1,River rafting,Delhi Garden,180,1969
3,1,Wildlife safari,Delhi Market,240,2275
4,1,Food tour,Delhi Fort,120,1086
5,1,Boat ride,Delhi Viewpoint,60,746
6,1,City tour,Delhi Market,180,679
7,1,Shopping tour,Delhi Fort,120,1010
8,2,City tour,Mumbai Garden,180,665
9,2,Hiking,Mumbai Market,120,738
10,2,Beach day,Mumbai Market,480,0
11,2,Paragliding,Mumbai Fort,45,2715
12,2,River rafting,Mumbai Fort,180,2130
13,2,Tea plantation tour,Mumbai Garden,120,961
14,2,Heritage walk,Mumbai Viewpoint,90,322
15,2,Boat ride,Mumbai Temple,60,752
16,2,Wildlife safari,Mumbai Market,240,1972
17,3,Wildlife safari,Bengaluru Garden,240,2087
18,3,Shopping tour,Bengaluru Temple,120,1059
19,3,Tea plantation tour,Bengaluru Heritage Site,120,1040
20,3,Hiking,Bengaluru Garden,120,606
21,3,Museum visit,Bengaluru Heritage Site,90,411
22,3,Beach day,Bengaluru Temple,480,0
23,3,Heritage walk,Bengaluru Heritage Site,90,379
24,4,Tea plantation tour,Chennai Temple,120,1020
25,4,Hiking,Chennai Fort,120,713
26,4,Beach day,Chennai Viewpoint,480,0
27,4,Heritage walk,Chennai Heritage Site,90,336
28,4,Boat ride,Chennai Viewpoint,60,895
29,4,Paragliding,Chennai Heritage Site,45,3221
30,4,Food tour,Chennai Temple,120,981
31,5,Museum visit,Kolkata Garden,90,513
32,5,Paragliding,Kolkata Temple,45,2857
33,5,Food tour,Kolkata Fort,120,1091
34,5,Tea plantation tour,Kolkata Heritage Site,120,890
35,5,Wildlife safari,Kolkata Garden,240,2553
36,5,Hiking,Kolkata Garden,120,560
37,5,Boat ride,Kolkata Garden,60,748
38,5,Heritage walk,Kolkata Garden,90,445
39,5,River rafting,Kolkata Temple,180,1958
40,6,Museum visit,Hyderabad Garden,90,444
41,6,Paragliding,Hyderabad Viewpoint,45,2865
42,6,City tour,Hyderabad Garden,180,713
43,6,Food tour,Hyderabad Garden,120,812
44,6,Boat ride,Hyderabad Fort,60,602
45,6,Shopping tour,Hyderabad Market,120,1230
46,6,Beach day,Hyderabad Fort,480,0
47,6,Wildlife safari,Hyderabad Market,240,2475
48,6,Heritage walk,Hyderabad Heritage Site,90,332
49,6,Hiking,Hyderabad Heritage Site,120,690
50,7,Hiking,Pune Market,120,626
51,7,Wildlife safari,Pune Heritage Site,240,2452
52,7,Shopping tour,Pune Fort,120,1324
