id,name,type,state,region,latitude,longitude,top_activities,best_visit_months,notes
1,Delhi,city,Delhi,Delhi NCR,28.7041,77.1025,Heritage walk;River rafting;Wildlife safari;Food tour;Boat ride;City tour;Shopping tour,Nov-Feb,Popular for museums and food tours.
2,Mumbai,city,Maharashtra,Mumbai Metro,19.076,72.8777,City tour;Hiking;Beach day;Paragliding;River rafting;Tea plantation tour;Heritage walk;Boat ride;Wildlife safari,All Year,Popular for museums and food tours.
3,Bengaluru,city,Karnataka,Bengaluru Metro,12.9716,77.5946,Wildlife safari;Shopping tour;Tea plantation tour;Hiking;Museum visit;Beach day;Heritage walk,Nov-Feb,Popular for museums and food tours.
4,Chennai,city,Tamil Nadu,Chennai Metro,13.0827,80.2707,Tea plantation tour;Hiking;Beach day;Heritage walk;Boat ride;Paragliding;Food tour,Dec-Feb,Popular for museums and food tours.
5,Kolkata,city,West Bengal,Kolkata Metro,22.5726,88.3639,Museum visit;Paragliding;Food tour;Tea plantation tour;Wildlife safari;Hiking;Boat ride;Heritage walk;River rafting,Apr-Jun,Popular for museums and food tours.
6,Hyderabad,city,Telangana,Hyderabad Metro,17.385,78.4867,Museum visit;Paragliding;City tour;Food tour;Boat ride;Shopping tour;Beach day;Wildlife safari;Heritage walk;Hiking,Sep-Apr,Popular for museums and food tours.
7,Pune,city,Maharashtra,Pune Metro,18.5204,73.8567,Hiking;Wildlife safari;Shopping tour;Museum visit;Tea plantation tour;Heritage walk;Food tour;City tour;River rafting;Beach day,Apr-Jun,Popular for museums and food tours.
8,Ahmedabad,city,Gujarat,Ahmedabad Metro,23.0225,72.5714,Tea plantation tour;Museum visit;City tour;Paragliding;Hiking;Boat ride;Food tour;River rafting;Wildlife safari;Beach day,Sep-Apr,Popular for museums and food tours.
9,Jaipur,city,Rajasthan,Rajasthan Plains,26.9124,75.7873,Museum visit;Beach day;City tour;River rafting;Hiking;Shopping tour;Tea plantation tour;Paragliding;Food tour,Oct-Mar,Popular for museums and food tours.
10,Lucknow,city,Uttar Pradesh,Awadh,26.8467,80.9462,Shopping tour;Hiking;Beach day;Paragliding;Heritage walk;Museum visit;River rafting;Food tour;Boat ride;City tour,Dec-Feb,Popular for museums and food tours.
11,Agra,city,Uttar Pradesh,Agra Region,27.1767,78.0081,Wildlife safari;Tea plantation tour;Paragliding;Shopping tour;Food tour;Heritage walk;River rafting;Boat ride,Sep-Apr,Popular for museums and food tours.
12,Varanasi,city,Uttar Pradesh,Banaras,25.3176,82.9739,Boat ride;Tea plantation tour;River rafting;City tour;Beach day;Wildlife safari;Hiking,Nov-Feb,Popular for museums and food tours.
13,Amritsar,city,Punjab,Punjab Plains,31.634,74.8723,Museum visit;Hiking;Wildlife safari;Boat ride;Paragliding;Heritage walk;Shopping tour;River rafting,Nov-Feb,Popular for museums and food tours.
14,Nagpur,city,Maharashtra,Vidarbha,21.1458,79.0882,Shopping tour;River rafting;Food tour;Wildlife safari;Boat ride;Tea plantation tour;Heritage walk,Dec-Feb,Popular for museums and food tours.
15,Indore,city,Madhya Pradesh,Malwa,22.7196,75.8577,Food tour;City tour;Wildlife safari;Museum visit;Paragliding;Hiking;Shopping tour;Boat ride;River rafting;Beach day,All Year,Popular for museums and food tours.
16,Bhopal,city,Madhya Pradesh,Bhopal Region,23.2599,77.4126,Wildlife safari;Hiking;Beach day;River rafting;Shopping tour;Museum visit;Paragliding;Tea plantation tour;Boat ride;Heritage walk,Oct-Mar,Popular for museums and food tours.
17,Srinagar,hill_station,Jammu & Kashmir,Kashmir Valley,34.0837,74.7973,Tea plantation tour;River rafting;Hiking;Paragliding;Boat ride;Food tour;Heritage walk;City tour,Oct-Mar,Popular for hiking and tea gardens.
18,Shimla,hill_station,Himachal Pradesh,Himachal,31.1048,77.1734,Paragliding;River rafting;Museum visit;Boat ride;Wildlife safari;Beach day;City tour;Hiking;Heritage walk;Tea plantation tour,Dec-Feb,Popular for hiking and tea gardens.
19,Manali,hill_station,Himachal Pradesh,Himachal,32.2432,77.1892,Tea plantation tour;Boat ride;Beach day;Wildlife safari;Shopping tour;Museum visit;River rafting;Heritage walk,Oct-Mar,Popular for hiking and tea gardens.
20,Ooty,hill_station,Tamil Nadu,Nilgiris,11.4064,76.695,Museum visit;Paragliding;City tour;Shopping tour;Food tour;Heritage walk;Wildlife safari;Tea plantation tour,Dec-Feb,Popular for hiking and tea gardens.
21,Munnar,hill_station,Kerala,Western Ghats,10.0879,77.0595,Heritage walk;Shopping tour;Food tour;Hiking;Museum visit;Tea plantation tour;River rafting;Wildlife safari;Boat ride;City tour,Dec-Feb,Popular for hiking and tea gardens.
22,Darjeeling,hill_station,West Bengal,Darjeeling Hills,27.036,88.2627,River rafting;Museum visit;Tea plantation tour;Beach day;Heritage walk;Wildlife safari;Hiking;Food tour;Paragliding;City tour,Nov-Feb,Popular for hiking and tea gardens.
23,Nainital,hill_station,Uttarakhand,Kumaon,29.3919,79.4542,Heritage walk;River rafting;Food tour;Tea plantation tour;Paragliding;Wildlife safari;Hiking,Oct-Mar,Popular for hiking and tea gardens.
24,Rishikesh,hill_station,Uttarakhand,Garhwal,30.0869,78.2676,Hiking;River rafting;Heritage walk;Boat ride;Tea plantation tour;Food tour;Paragliding;Beach day;Shopping tour;Museum visit,Apr-Jun,Popular for hiking and tea gardens.
25,Mussoorie,hill_station,Uttarakhand,Garhwal,30.4598,78.0666,Shopping tour;Hiking;Boat ride;Wildlife safari;Heritage walk;River rafting;Tea plantation tour,Oct-Mar,Popular for hiking and tea gardens.
26,Kodaikanal,hill_station,Tamil Nadu,Palani Hills,10.2381,77.4897,Wildlife safari;River rafting;Tea plantation tour;Hiking;Paragliding;Heritage walk;Food tour;Museum visit,Nov-Feb,Popular for hiking and tea gardens.
27,Coorg,hill_station,Karnataka,Kodagu,12.3375,75.8069,Hiking;Beach day;Museum visit;Paragliding;Boat ride;Tea plantation tour;City tour;Shopping tour,Oct-Mar,Popular for hiking and tea gardens.
28,Gulmarg,hill_station,Jammu & Kashmir,Kashmir Valley,34.053,74.3815,Paragliding;Wildlife safari;Museum visit;Tea plantation tour;Boat ride;City tour;Heritage walk;Shopping tour;Hiking;Beach day,Oct-Mar,Popular for hiking and tea gardens.
29,Mount Abu,hill_station,Rajasthan,Aravali,24.5937,72.712,Tea plantation tour;Food tour;Museum visit;Paragliding;River rafting;Hiking;Shopping tour;Wildlife safari,All Year,Popular for hiking and tea gardens.
30,Kasauli,hill_station,Himachal Pradesh,Himachal,30.7425,76.98,Tea plantation tour;Shopping tour;Boat ride;Hiking;Heritage walk;City tour;Paragliding;Wildlife safari;Museum visit;Food tour,Apr-Jun,Popular for hiking and tea gardens.
31,Lonavala,hill_station,Maharashtra,Western Ghats,18.75,73.409,Hiking;City tour;Food tour;Paragliding;Boat ride;Wildlife safari;Shopping tour;Tea plantation tour;Museum visit;Heritage walk,Oct-Mar,Popular for hiking and tea gardens.
32,Mahabaleshwar,hill_station,Maharashtra,Western Ghats,17.9287,73.6835,Hiking;Shopping tour;Heritage walk;Museum visit;Beach day;River rafting,Dec-Feb,Popular for hiking and tea gardens.
33,Panchgani,hill_station,Maharashtra,Western Ghats,17.9243,73.8257,Tea plantation tour;Food tour;Wildlife safari;Hiking;River rafting;Heritage walk;Museum visit,All Year,Popular for hiking and tea gardens.
34,Kullu,hill_station,Himachal Pradesh,Himachal,31.9647,77.1036,Shopping tour;Museum visit;Food tour;Beach day;Tea plantation tour;Heritage walk;Wildlife safari;Paragliding;River rafting,Dec-Feb,Popular for hiking and tea gardens.
35,Leh,hill_station,Ladakh,Ladakh,34.1526,77.577,Heritage walk;Shopping tour;Paragliding;River rafting;Wildlife safari;Beach day;Hiking;Tea plantation tour;City tour;Museum visit,All Year,Popular for hiking and tea gardens.
36,Alleppey,hill_station,Kerala,Kerala Backwaters,9.4981,76.3388,Tea plantation tour;Beach day;Food tour;Boat ride;Heritage walk;River rafting;Wildlife safari;Paragliding;City tour;Shopping tour,Nov-Feb,Popular for hiking and tea gardens.
37,Gokarna,hill_station,Karnataka,Konkan,14.5396,74.322,Boat ride;River rafting;Wildlife safari;Beach day;Museum visit;Tea plantation tour;Hiking;City tour;Food tour,All Year,Popular for hiking and tea gardens.
38,Pondicherry,city,Puducherry,Pondicherry Region,11.9416,79.8083,Tea plantation tour;Food tour;Heritage walk;City tour;Paragliding;Boat ride;Museum visit;Wildlife safari,Sep-Apr,Popular for museums and food tours.
39,Varkala,hill_station,Kerala,Kerala Coast,8.7386,76.7121,City tour;Boat ride;Food tour;River rafting;Museum visit;Shopping tour,Oct-Mar,Popular for hiking and tea gardens.
40,Hampi,city,Karnataka,Deccan Plateau,15.335,76.46,River rafting;Boat ride;City tour;Paragliding;Beach day;Museum visit;Shopping tour;Heritage walk;Food tour;Wildlife safari,Apr-Jun,Popular for museums and food tours.
41,Vadodara,city,Gujarat,Vadodara Region,22.3072,73.1812,Shopping tour;Wildlife safari;Museum visit;Tea plantation tour;Boat ride;City tour;Hiking;River rafting;Heritage walk;Paragliding,Dec-Feb,Popular for museums and food tours.
42,Surat,city,Gujarat,Surat Region,21.1702,72.8311,Tea plantation tour;Hiking;City tour;River rafting;Food tour;Museum visit;Shopping tour;Heritage walk;Wildlife safari,Sep-Apr,Popular for museums and food tours.
43,Jodhpur,city,Rajasthan,Marwar,26.2389,73.0243,Wildlife safari;Hiking;Food tour;Beach day;Museum visit;Shopping tour;Paragliding;River rafting,Nov-Feb,Popular for museums and food tours.
44,Bhubaneswar,city,Odisha,Kalinga,20.2961,85.8245,Wildlife safari;Food tour;Beach day;Hiking;Museum visit;Tea plantation tour;Heritage walk;River rafting;Shopping tour;Boat ride,Nov-Feb,Popular for museums and food tours.
45,Manali,hill_station,Himachal Pradesh,Himachal,32.2432,77.1892,River rafting;Food tour;Wildlife safari;Museum visit;City tour;Paragliding;Tea plantation tour,Oct-Mar,Popular for hiking and tea gardens.
46,Gulmarg,hill_station,Jammu & Kashmir,Kashmir Valley,34.053,74.3815,Paragliding;River rafting;Shopping tour;Food tour;Wildlife safari;City tour;Hiking;Boat ride,Oct-Mar,Popular for hiking and tea gardens.
47,Vadodara,city,Gujarat,Vadodara Region,22.3072,73.1812,Boat ride;River rafting;Museum visit;Wildlife safari;Shopping tour;Food tour,All Year,Popular for museums and food tours.
48,Kullu,hill_station,Himachal Pradesh,Himachal,31.9647,77.1036,Wildlife safari;Food tour;Shopping tour;Paragliding;Hiking;Beach day;Museum visit;Boat ride,Dec-Feb,Popular for hiking and tea gardens.
49,Leh,hill_station,Ladakh,Ladakh,34.1526,77.577,Boat ride;Wildlife safari;City tour;Food tour;Heritage walk;Museum visit;Paragliding,Dec-Feb,Popular for hiking and tea gardens.
