hotel_id,city_id,name,category,star_rating,price_per_night_inr,amenities,nearest_attraction,user_rating
H0001,1,Emerald Inn Delhi,Budget,2,1281,"wifi,breakfast,spa,pool",Delhi Fort,3.4
H0002,1,Regal Hotel Delhi,Budget,2,2190,"wifi,breakfast,conference_room,parking",Delhi Garden,3.3
H0003,1,Sunrise Inn Delhi,Mid,3,3052,"wifi,breakfast,pool,parking",Delhi Market,3.1
H0004,1,Emerald Lodge Delhi,Mid,4,4385,"wifi,breakfast,pool,parking",Delhi Fort,3.1
H0005,1,Hillview Plaza Delhi,Luxury,4,10016,"wifi,breakfast,gym,parking",Delhi Garden,4.0
H0006,1,Sunrise Palace Delhi,Luxury,5,15326,"wifi,breakfast,conference_room,parking",Delhi Market,3.4
H0007,2,Grand Palace Mumbai,Budget,3,1678,"wifi,breakfast,conference_room,parking",Mumbai Market,4.9
H0008,2,Maple Retreat Mumbai,Budget,3,1652,"wifi,breakfast,parking",Mumbai Market,4.1
H0009,2,Golden Retreat Mumbai,Mid,3,4130,"wifi,breakfast,parking",Mumbai Fort,3.6
H0010,2,Serene Inn Mumbai,Mid,4,5650,"wifi,breakfast,conference_room,parking",Mumbai Temple,4.7
H0011,2,Emerald Residency Mumbai,Luxury,5,24390,"wifi,breakfast,conference_room,parking",Mumbai Viewpoint,4.2
H0012,2,Blue Lagoon Plaza Mumbai,Luxury,4,19178,"wifi,breakfast,play_area,pool",Mumbai Garden,4.0
H0013,3,Blue Lagoon Suites Bengaluru,Budget,3,1859,"wifi,breakfast,pool,parking",Bengaluru Temple,4.3
H0014,3,Serene Resort Bengaluru,Budget,2,1387,"wifi,breakfast,spa,pool",Bengaluru Garden,3.1
H0015,3,Maple Plaza Bengaluru,Mid,4,6826,"wifi,breakfast,parking",Bengaluru Garden,4.9
H0016,3,Hillview Lodge Bengaluru,Mid,3,6874,"wifi,breakfast,conference_room,parking",Bengaluru Heritage Site,4.1
H0017,3,Heritage Palace Bengaluru,Luxury,5,20962,"wifi,breakfast,play_area,pool",Bengaluru Heritage Site,5.0
H0018,3,Lotus Hotel Bengaluru,Luxury,5,9444,"wifi,breakfast,parking",Bengaluru Heritage Site,4.7
H0019,4,Hillview Plaza Chennai,Budget,3,2414,"wifi,breakfast,spa,pool",Chennai Viewpoint,3.9
H0020,4,Palm Retreat Chennai,Budget,2,1700,"wifi,breakfast,parking",Chennai Heritage Site,3.5
H0021,4,Regal Residency Chennai,Mid,4,5219,"wifi,breakfast,gym,parking",Chennai Viewpoint,4.6
H0022,4,Hillview Retreat Chennai,Mid,3,6383,"wifi,breakfast,pool,parking",Chennai Heritage Site,3.9
H0023,4,Palm Resort Chennai,Luxury,5,13438,"wifi,breakfast,play_area,pool",Chennai Temple,3.6
H0024,4,Serene Retreat Chennai,Luxury,5,14977,"wifi,breakfast,conference_room,parking",Chennai Fort,3.9
H0025,5,Heritage Inn Kolkata,Budget,2,2777,"wifi,breakfast,parking",Kolkata Heritage Site,4.8
H0026,5,Regal Palace Kolkata,Budget,3,1717,"wifi,breakfast,conference_room,parking",Kolkata Temple,3.8
